date,total_assets,share_price,fee_amount,apy,yield_earned,asset_symbol,vault_address,markets,deposits,withdraws
2025-09-20,1.000808,1.000808,0.0,0.0,0.0,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-09-21,1.00108,1.00108,0.0,0.1042720821116725,0.000272,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-09-22,1.001308,1.001308,0.0,0.08667302093451464,0.000228,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-09-23,1.00176,1.00176,0.0,0.1790715551504852,0.000452,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-09-24,1.001957,1.001957,0.0,0.07440993444535798,0.000197,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-09-25,1.002203,1.002203,0.0,0.0937406662195163,0.000246,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-09-26,1.002391,1.002391,0.0,0.07086072531252458,0.000188,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-09-27,1.00259,1.00259,0.0,0.07514394202746956,0.000199,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-09-28,1.002748,1.002748,0.0,0.05920273529286569,0.000158,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-09-29,1.002906,1.002906,0.0,0.05919313685493765,0.000158,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-09-30,1.003059,1.003059,0.0,0.05725818347041295,0.000153,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-10-01,200176.938111,1.0032138339437424,0.0,0.057954885357265125,30.89489371588427,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,431350.286607,200000.000004
2025-10-02,231389.18179,1.003378000161855,0.0,0.0615433342978354,37.85840120127823,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,11600.0,0.0
2025-10-03,243025.12711,1.0035265816033871,0.0,0.055532780818657014,35.982129797564085,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-10-04,243060.192887,1.0036713791382863,0.0,0.05407285736476596,35.065777000033115,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-10-05,243098.702889,1.0038303989529211,0.0,0.05952991786011819,38.51000200001711,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-10-06,243124.791617,1.003938127451367,0.0,0.03994597032858056,26.088727999985913,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-10-07,243164.418257,1.0041017582127312,0.0,0.061291006087320084,39.62664000002208,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-10-08,243232.057623,1.0043810622606335,0.0,0.1068469743782187,67.63936600000939,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,270000.835127,0.0
2025-10-09,513290.0728,1.0044951579387618,0.0,0.042332420928081864,58.30210177697071,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,200185.525439,0.0
2025-10-10,713565.123052,1.0046241330700292,0.0,0.04797763784811014,91.60854530954282,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,177719.543744,0.0
2025-10-11,891382.459643,1.0047450062322896,0.0,0.04489143578005259,107.23538411461492,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-10-12,891487.8851,1.0048638392879603,0.0,0.044111907092204104,105.42545700005768,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-10-13,891599.970192,1.0049901789250506,0.0,0.046957017050605815,112.08509199992318,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
2025-10-14,891730.173589,1.0051369410825455,0.0,0.0547442372581428,130.2033970000537,EURC,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC-Morpho,0.0,0.0
